# t, hp, hx
2.274572386500000112e-02 -1.399475384700000005e-03 1.526361773799999951e-07
2.276949063500000037e-02 -1.070926817899999937e-03 1.456293252500000019e-07
2.279325538600000117e-02 -8.829476422499999561e-04 4.826108140800000183e-08
2.281702095400000088e-02 -9.058687214699999478e-04 -1.074751788299999998e-07
2.284078543200000061e-02 -1.241393995899999977e-03 -1.483588325799999985e-07
2.286454930199999930e-02 -1.820531410099999981e-03 -2.441515037800000024e-07
2.288831647599999866e-02 -2.567372649499999847e-03 -2.948128072400000050e-07
2.291208399900000053e-02 -3.288471225500000025e-03 -1.610527349699999967e-07
2.293584939100000095e-02 -3.665035043399999821e-03 -2.798136850900000058e-08
2.295962092799999979e-02 -3.638836514799999831e-03 1.959690873799999945e-07
2.298339549299999868e-02 -3.365380166199999790e-03 4.169123916499999913e-07
2.300713327099999927e-02 -2.925873033400000055e-03 4.902140876800000049e-07
2.303090332200000145e-02 -2.435657744799999812e-03 3.511248805600000081e-07
2.305466803499999981e-02 -1.985068446699999895e-03 2.360363483500000044e-08
2.307843424099999957e-02 -1.554051818899999981e-03 -3.850320672200000075e-07
2.310220290899999904e-02 -1.184730758999999944e-03 -7.202727678100000403e-07
2.312596359200000048e-02 -9.155532078700000156e-04 -8.163417790599999602e-07
2.314972301699999915e-02 -8.090707267199999907e-04 -6.568645453400000208e-07
2.317348698399999962e-02 -9.306175820399999752e-04 -3.277194767000000225e-07
2.319725503100000114e-02 -1.294736349300000056e-03 7.088243930700000115e-08
2.322102143100000099e-02 -1.864865153700000049e-03 3.116664914299999954e-07
2.324479042499999829e-02 -2.584660114599999971e-03 2.723570528199999817e-07
2.326855383399999838e-02 -3.248978540200000206e-03 9.418980261099999830e-08
2.329231804900000133e-02 -3.575407723199999950e-03 -1.802566730099999939e-07
2.331608081300000010e-02 -3.526740629900000212e-03 -4.440383838200000050e-07
2.333984930599999896e-02 -3.254392681200000102e-03 -4.353567152100000053e-07
2.336361331400000144e-02 -2.832309424299999951e-03 -1.745408701500000117e-07
2.338737314300000023e-02 -2.372062724000000011e-03 1.876759823599999942e-07
2.341112986000000104e-02 -1.929911007800000095e-03 4.792887687499999532e-07
2.343489072000000048e-02 -1.514639605200000056e-03 4.968723557799999721e-07
2.345865061499999987e-02 -1.184904759500000080e-03 2.098163743500000069e-07
2.348241520100000090e-02 -9.465737732300000262e-04 -1.728390302200000061e-07
2.350617422799999856e-02 -8.318488650300000448e-04 -3.756970972499999879e-07
2.352993998699999881e-02 -8.821898281399999549e-04 -2.582670401500000111e-07
2.355370279799999869e-02 -1.141232627900000060e-03 8.633577125000000366e-08
2.357746528500000160e-02 -1.582852365400000015e-03 3.545381805799999997e-07
2.360122905600000112e-02 -2.192458896900000009e-03 4.278489509799999799e-07
2.362498902300000023e-02 -2.863063859299999972e-03 3.398961232699999952e-07
2.364875044499999829e-02 -3.332947326499999946e-03 7.367260797299999907e-08
2.367251570800000052e-02 -3.446207043799999828e-03 -2.802343530200000128e-07
2.369627511000000145e-02 -3.289011760499999885e-03 -5.938101248200000178e-07
2.372003802899999916e-02 -2.966961379500000166e-03 -8.111947210200000089e-07
2.374379638999999861e-02 -2.552101302699999810e-03 -8.483307364800000153e-07
2.376755679100000032e-02 -2.128456255800000030e-03 -5.163374447300000154e-07
2.379131808300000150e-02 -1.714465840899999892e-03 1.687427345199999905e-07
2.381507579199999836e-02 -1.370147384799999968e-03 9.551149081500000558e-07
2.383884174900000041e-02 -1.102131919599999999e-03 1.601305544600000042e-06
2.386260382399999977e-02 -9.017029169799999555e-04 1.911107672499999834e-06
2.388636481399999956e-02 -8.127533292599999504e-04 1.434619616499999950e-06
2.391012720600000155e-02 -8.776502801499999878e-04 7.616003518600000090e-07
2.393389111600000008e-02 -1.117534140300000022e-03 5.601080931799999756e-08
2.395764972300000115e-02 -1.509245057199999933e-03 -7.865986849600000440e-07
2.398141190599999834e-02 -2.054392198799999836e-03 -1.056897769600000078e-06
2.400479765200000046e-02 -2.679414005700000122e-03 -9.178841040200000052e-07
2.402856248399999964e-02 -3.151801463500000181e-03 -4.433941344299999974e-07
2.405232595100000037e-02 -3.319154286199999838e-03 2.670499395100000094e-07
2.407609492799999903e-02 -3.218948875899999788e-03 6.840797629600000427e-07
2.409985736699999867e-02 -2.930944173599999824e-03 5.442062628000000336e-07
2.412361943899999847e-02 -2.526085309200000201e-03 3.023342392400000153e-08
2.414738077099999949e-02 -2.121666511000000043e-03 -5.466317699100000299e-07
2.417114172000000075e-02 -1.749964960699999924e-03 -8.682787995999999980e-07
2.419490532399999963e-02 -1.443675281700000082e-03 -6.834136349000000385e-07
2.421866712999999963e-02 -1.181277735199999946e-03 -2.047975569899999948e-07
2.424242952699999856e-02 -9.835676971800000074e-04 2.534482934999999868e-07
2.426619193500000049e-02 -8.913039947099999976e-04 6.462355055199999799e-07
2.428995615200000083e-02 -8.765029967599999826e-04 7.797044915599999638e-07
2.431372519200000054e-02 -9.804197441400000056e-04 4.354624485400000169e-07
2.433749115699999910e-02 -1.232279296000000088e-03 1.682783005600000069e-08
2.436124609700000138e-02 -1.632706154000000080e-03 -1.407264415800000110e-07
2.438501008799999828e-02 -2.172551665500000156e-03 -2.209445848899999878e-07
2.440877106399999899e-02 -2.732295406400000060e-03 -2.413841972200000123e-07
2.443254397999999883e-02 -3.103196902700000159e-03 -2.175177638699999973e-07
2.445631175600000012e-02 -3.200190807199999876e-03 -2.235125993700000045e-07
2.448007451600000065e-02 -3.075647554500000099e-03 -2.402352558100000104e-07
2.450383851200000143e-02 -2.765318864899999826e-03 -2.637682900200000126e-07
2.452760954699999968e-02 -2.363050436800000036e-03 -2.205438129300000088e-07
2.455137930999999954e-02 -1.964789313800000079e-03 -4.152791093199999758e-08
2.457514954200000143e-02 -1.608326056900000103e-03 1.510978478000000085e-07
